username,created_at,lng,lat,text,,,,,,
raghvendrapatel, Wed Jan 27 01:55:17 +0000 2021,80.158946,23.115596, यह अन्नदाता हो ही नहीं सकते। किसान का चोला पहनकर राजनीति करने वाले वामपंथीयों का चेहरा सामने आना चाहिए। कड़ी कार्य… https://t.co/FiNXUleLXM ,,,,,,
lakhan_shivhare, Wed Jan 27 01:55:18 +0000 2021,78.420229,23.970895, हे कृष्ण🥀🥀🥀   सांवरिया इश्क में दुनिया लुटा कर हम भी देखेंगे.. तेरी महफिल मे किस्मत अजमाकर हम भी देखेंगे🌹🙏 जय… https://t.co/JEWc6UkSLq ,,,,,,
nareshparashar, Wed Jan 27 01:55:18 +0000 2021,78.160087,26.063323, अफवाह गैंग लाल किले का तिरंगा आँख फाड़ कर देख लो..जय हिंद..#FarmersProtest #RepublicDayIndia https://t.co/2VBIshLl1m ,,,,,,
ShekharShri, Wed Jan 27 01:55:18 +0000 2021,78.420229,23.970895, मध्य प्रदेश शासन के पूर्व मुख्यमंत्री एवं मध्य प्रदेश कांग्रेस कमेटी के अध्यक्ष परम आदरणीय श्री कमलनाथ जी, छिंदवा… https://t.co/nSaoy1WC1x ,,,,,
iamswapj, Wed Jan 27 01:55:22 +0000 2021,76.771244,18.817911, @amazon @amazonIN @AmazonCare @AmazonHelp I ordered this product on 20 Jan, today is 27 jan but this product is y… https://t.co/AlAgxmSrOQ ,,,,,
RElumal32666400, Wed Jan 27 01:55:25 +0000 2021,73.0655,20.206391, @vinothvm49 @kkmadurai9 @Anthanan_Offl தோ...வந்துட்டாருயில்ல டீச்சரு.. ,,,,,,
SameerFitness, Wed Jan 27 01:55:25 +0000 2021,78.465094,17.388649, Relax #WSMDS #InterMilan #avondklokkerellen #LALISA #Survivor2021 #taeglichfrischgeroestet #CHAELISA #Kobane… https://t.co/9VNVHuJiEE ,,,,,,
ajaysingh0018, Wed Jan 27 01:55:26 +0000 2021,77.404476,23.272495, जय श्रीराम ,,,,,,
BharatKumarChh4, Wed Jan 27 01:55:27 +0000 2021,73.87756,26.628415, @Reena3597 Good morning ,,,,,,
sadanandamp, Wed Jan 27 01:55:27 +0000 2021,78.385285,17.395038, @SSSTShirdi 🌹🌹🌹🙏🙏🙏💐💐💐 ,,,,,,
PranabhSingh, Wed Jan 27 01:55:31 +0000 2021,85.29277,25.508257, @pankajjha_ भाइयों एवं बहनों...हम विफल हो गए, इस बार किसानों को बचाने में👏👏🤔 ,,,,,
faisalTamanna, Wed Jan 27 01:55:32 +0000 2021,67.042194,24.905076, @MaryamNSharif 🤣🤣🤣  Lahore High Court has a wonderful history which is shining n it's performance is outstanding am… https://t.co/pQw3jj6nsk ,,,,,,
punitmaithil85, Wed Jan 27 01:55:33 +0000 2021,85.811298,25.904119, निराश मत हो.... कमज़ोर तुम्हारा वक़्त है , तुम नहीं... :) #भगवद्गीता ,,,,,
tarkeshwar_dass, Wed Jan 27 01:55:35 +0000 2021,80.867555,27.139758, https://t.co/ZDobdJRGLj ,,,,,,
nnish_patel, Wed Jan 27 01:55:35 +0000 2021,73.203728,22.34173, Just posted a photo @ Emigrants Visa https://t.co/0Dc6adyV3c ,,,,,,
VenkatesAmmk, Wed Jan 27 01:55:35 +0000 2021,78.956697,10.525469, பறக்கும் திறனில்லா பறவைகளை யாரும் கூண்டில் அடைப்பதில்லை...4 ஆண்டுகள் சின்னம்மாவை கூண்டில் அடைத்ததற்கு அவர் திறமான… https://t.co/fdCfmnWbUu ,,,,,,
AnsariirfanAns6, Wed Jan 27 01:55:40 +0000 2021,72.874244,19.17414, @Amina23553691 @__Pakistan Beashak ,,,,,,
Muthu_Vfc96, Wed Jan 27 01:55:41 +0000 2021,77.689249,8.816049, @csamudhan உங்களுக்கு குசும்பு ரொம்பவே அதிகம் அண்ணே @csamudhan ,,,,,,
AshishK32027228, Wed Jan 27 01:55:43 +0000 2021,73.910077,18.508161, @1IhFKdoTbnCNf6w @RameshK56517257 🚩🔱🕉️🙏 Jai jai shre Ram 🙏 Bhai 🙏 ,,,,,,
ajaysingh0018, Wed Jan 27 01:55:44 +0000 2021,77.404476,23.272495, जय श्रीमहानकालेश्वर जी की ,,,,,,
KSMB77, Wed Jan 27 01:55:45 +0000 2021,77.556422,13.075209, @Proud_SUDEEPian @KicchaSudeep Hmm bro adre namdu teaser idu trailer 😂😂#VikrantRonaOnBurjKhalifa #KicchaSudeep… https://t.co/bHdFn5UBub ,,,,,,
pradeep92087065, Wed Jan 27 01:55:52 +0000 2021,80.346063,26.405874, @vinodkapri पेड वर्कर है बे ये किसान नहीं है ,,,,,,
vasudevakudubag, Wed Jan 27 01:55:53 +0000 2021,76.921313,8.529236, @balbir59 @narendramodi The same with me I can't stand this insult on my nation which is above my self-respect I fe… https://t.co/5dHhAgLcjj ,,,,,,
shirdilive11, Wed Jan 27 01:55:54 +0000 2021,77.35998,19.183329, https://t.co/U6iNkmRicI ,,,,,,
mrsunilrathore8, Wed Jan 27 01:55:54 +0000 2021,72.963107,21.7684, असल किसान बस एक बात सोचें कि जिन @narendramodi को पाकिस्तान को पाक में घुसकर ठोकने का आदेश देने में वक्त नहीं लगा उ… https://t.co/3WaUlSVKIs ,,,,,,
SportboxF, Wed Jan 27 01:55:55 +0000 2021,77.35327,11.09765, Just posted a photo @ Sportbox https://t.co/d1HP2prJLQ ,,,,,,
sreedhar_manda, Wed Jan 27 01:55:55 +0000 2021,77.558448,12.923115, జస్ట్ ఎర్రి ప్రజల కోసం ఈ వ్రాతలు, ఎర్రి ప్రజలు అనుకునే మూర్ఖత్వం వుంది చూసారా అది చచ్చిపోలి ,,,,,
yatinfugro, Wed Jan 27 01:55:55 +0000 2021,71.014749,20.735596, @gurpreetdanics @sonalishwar2015 @DMCDAMAN1613 @tapasyaraghav @VisitDNHandDD @CollectorDaman @Minhas1Rakesh… https://t.co/9sGjpXXHxG ,,,,,,
Sivakum51008820, Wed Jan 27 01:55:59 +0000 2021,78.143349,9.963089, @Lavanyasex Very beautiful ,,,,,,
ArjunGanj, Wed Jan 27 01:56:00 +0000 2021,80.764796,15.893908, అందరికి శుభోదయం ,,,,,,
kailashkachhaw2, Wed Jan 27 01:56:03 +0000 2021,72.874244,19.17414, @aajtak गलत क्या है आज कंगना क्या हर सच्चा भारतीय यही कह रहा है। ,,,,,,
thazkyrooftop, Wed Jan 27 01:56:05 +0000 2021,73.226307,3.201397, Get ready to blow your mind with Thazky Special Berry Bull! This drink is unique to its own flavor! With precise mi… https://t.co/rsnXDG5q5X ,,,,,,
AnsariirfanAns6, Wed Jan 27 01:56:06 +0000 2021,72.874244,19.17414, @MahaJutt13 @__Pakistan Walequmassalam worehmaitullhi wo baraqatohu wo magfiratohu ,,,,,,
s4saravv, Wed Jan 27 01:56:07 +0000 2021,78.289703,10.81879, OTT release already decide pannittu tha padatha release pannirupanunga pola 😏 dei jaggu nera modhu da #MasteronPrime ,,,,,,
ajaysingh0018, Wed Jan 27 01:56:08 +0000 2021,77.404476,23.272495, जय श्री सोमनाथ महादेव जी की ,,,,,,
UmeshSu49029012, Wed Jan 27 01:56:09 +0000 2021,79.191213,23.900565, @AnupamPKher अपमान तो कशमीर ने होता था जहा पर तिरंगे को फहराने तक का अधिकार नहीं था ,,,,,,
tarkeshwar_dass, Wed Jan 27 01:56:10 +0000 2021,80.867555,27.139758, https://t.co/qSKPpLTGeG ,,,,,,
Jagdish90930999, Wed Jan 27 01:56:11 +0000 2021,78.420229,23.970895, @DChaurasia2312 भाई साहब सभी किसान नेताओं को गोली मारी जानी चाहिए boss ,,,,,,
Ramnara16760062, Wed Jan 27 01:56:11 +0000 2021,85.811298,25.904119, #जय #श्री #राम #जय #जय #श्री #राम🚩 https://t.co/6NlF7bmT09 ,,,,,,
Sahil11710229, Wed Jan 27 01:56:11 +0000 2021,76.30793,25.97484, @sambitswaraj मोदी की टट्टी खाना चालू करदो किसानों का अनाज मत खाओ ,,,,,,
BarunBose13, Wed Jan 27 01:56:11 +0000 2021,81.358745,21.158141, @CsazadSINGH @v_552 Mosquitoes are blood suckers. Whether they are biting or not but as it nears you, you smash it.… https://t.co/GBiq0EL3vt ,,,,,
DineshK52285413, Wed Jan 27 01:56:13 +0000 2021,73.192355,19.270371, कोणाचेही सांगणे वरून  फेसबुक व गुगल, कोणासही धमकी देणे, त्याला येणारे विशिष्ट  व्यक्तींचे कॉल ब्लॉक करणे, त्याचा स… https://t.co/aq2CI6Jbgz ,,,
Anirudh02907859, Wed Jan 27 01:56:18 +0000 2021,83.395746,21.86799, @chauhanaug08 #ॐ_गं_गं_गणपतये_नमः #जय_श्री_राधे #शुप्रभातम्🙏🙏 ,,,,,,
drchaitanyaapa1, Wed Jan 27 01:56:20 +0000 2021,72.570232,23.013959, अब दंगा वालों क़ो शिक्षा क़ोई भी हो,कोई किसान नेता कोई बाधा नहीं डालेंगे,क्योंकि वो दंगा करने वाले किसान नहीं थे। प… https://t.co/tYYFVa6Dtk ,,,,
theindianpk, Wed Jan 27 01:56:21 +0000 2021,72.91801,19.377516, @dharajyot @Deishma 🙏next time sure will text u ,,,,,,
KSMB77, Wed Jan 27 01:56:22 +0000 2021,77.556422,13.075209, @GskMedia_PR @Proud_SUDEEPian @KicchaSudeep @anupsbhandari @JackManjunath @Alankar_Pandian @shaliniartss… https://t.co/xzCCuuLF9Q ,,,,,,
FaizKausar5, Wed Jan 27 01:56:22 +0000 2021,85.811298,25.904119, सारे #चैनल और #अख़बार एक ही बात कह रहे हैं,किसान जिद पर अड़े,.....क्या किसी भी चैनल या अख़बार ने ये कहा है कि सर… https://t.co/7Df0Vt5PX4 ,,,,
Subhash98114556, Wed Jan 27 01:56:22 +0000 2021,72.874244,19.17414, @arungovil12 तिरंगे का अपमान किया , इस देश पे बलिदान करने वाले इन्हे कभी माफ नहीं करेंगे ,,,,,
ShekharShri, Wed Jan 27 01:56:27 +0000 2021,78.420229,23.970895, मध्य प्रदेश शासन के पूर्व मुख्यमंत्री एवं मध्य प्रदेश कांग्रेस कमेटी के अध्यक्ष परम आदरणीय श्री कमलनाथ जी, छिंदवा… https://t.co/emmvulfcOg ,,,,,
Pushpshri1, Wed Jan 27 01:56:36 +0000 2021,78.04402,22.718955, एक दौड़ राष्ट्र के नाम गड़तंत्र दिवस के सम्मान में तिरंगा लिये 6 साल के वरेड्यम शर्मा ने अपनी दौड़ ठंड और कोहरे को… https://t.co/3yg8ArBdNO ,,,,,,
t23990, Wed Jan 27 01:56:37 +0000 2021,72.789105,21.171369, @HardikPatel_ Ek bat tu bhi dimang me rakh de he himat to avaj buland kr remove reservation Non sense ,,,,,,
mahaveer_dhayal, Wed Jan 27 01:56:38 +0000 2021,80.764796,15.893908, @AcharyaPramodk अपमान तो लाल किले को बेचा तब हुआ था ,,,,,,
Vikashraj86, Wed Jan 27 01:56:39 +0000 2021,84.845167,24.680211, 🌅 #GodMorningWednesdayकबीर,स्वांस उस्वांस में नाम जपो, व्यर्था स्वांस मत खो।ना जाने इस स्वांस को, आवन हो कि न… https://t.co/k0CFg10juj ,,,
AnsariirfanAns6, Wed Jan 27 01:56:39 +0000 2021,72.874244,19.17414, @TalhaAwantalha2 @__Pakistan Walequmassalam worehmaitullhi wo baraqatohu wo magfiratohu ,,,,,,
SunilKu40302713, Wed Jan 27 01:56:40 +0000 2021,77.558448,12.923115, ಅಬ್ಬಾ!! ಪ್ರತಿಯೊಬ್ಬ ಕಾಂಗ್ರೆಸ್ ವಕ್ತಾರರಿಗೆ ಇದೇ ರೀತಿಯ ಕೆಚ್ಚು,ಧೈರ್ಯ ಇದ್ದಿದ್ದರೆ ಇಷ್ಟೊತ್ತಿಗಾಗಲೇ ಅಜಿತ್ ಚಪ್ಪಲಿಯಲ್ಲಿ ಏಟು ತಿನಂ… https://t.co/sr9alyn5I2 ,,,,,
herminder70, Wed Jan 27 01:56:40 +0000 2021,80.346063,26.405874, अनोखे अमर शहीद धन धन #बाबादीपसिंघ जी दे जन्मदिवस दी लख लख वधाईयां..!!#ਬਾਬਾਦੀਪਸਿੰਘ ਜੀ ਦੇ ਜਨਮ ਦਿਹਾੜੇ ਤੇ ਆਪ ਸਭ ਨੂੰ ਲੱ… https://t.co/1VdR22KE8f ,,,,,,
pinku30855, Wed Jan 27 01:56:41 +0000 2021,73.884382,18.520764, @sumanthraman Yogendra ji ,,,,,,
aakash_knr, Wed Jan 27 01:56:43 +0000 2021,84.13302,28.39085, स-साना खुसिको मिश्रण हो जिन्दगी तर हामी ठुला ठुला खुसीलाई मात्रै महत्त्व दिन्छौं र त दुखि हुन्छौं । #शुभबिहानी ❤ ,,,,,,
Yogeshjipatidar, Wed Jan 27 01:56:43 +0000 2021,78.420229,23.970895, @Choudhary_Annuu जय श्री राधे ,,,,,,
madhuka01037280, Wed Jan 27 01:56:44 +0000 2021,77.558448,12.923115, But illiterate incompetetent Italian shit n the old slave dogs addicts of Italian shit,award waapsee bastards,left… https://t.co/0tQZP8fX2r ,,,,
SwapnilWilliam1, Wed Jan 27 01:56:49 +0000 2021,84.017883,21.860985, @RumiSahu Life is short breath is long even you sneeze heart stop for a second , so well as words speaks before tho… https://t.co/cHDKgIZ1kX ,,,,,
Yogeshjipatidar, Wed Jan 27 01:56:51 +0000 2021,78.420229,23.970895, @Choudhary_Annuu शुभप्रभात ,,,,,,
Ramnara16760062, Wed Jan 27 01:56:56 +0000 2021,85.811298,25.904119, @sinha2300 ऊं श्री गणेशाय नमो नमः 🌷🚩 ,,,,,,
sila_ammk, Wed Jan 27 01:56:57 +0000 2021,80.162177,12.93946, #TNwelcomesசின்னம்மா#WelcomeRajamadha https://t.co/fdwmj8KCZ8 ,,,,,,
lohithchalam, Wed Jan 27 01:56:57 +0000 2021,77.556422,13.075209, @SDyckes @SentryOne @SQLBek @kekline Thank you. Will check it out and reach out if I need more help. ,,,,,,
apthamitra, Wed Jan 27 01:56:58 +0000 2021,77.556422,13.075209, The same people who have problem with HANUMAN STICKER on carsAre saying we have no problem with a KHALISTAN flag o… https://t.co/TceaWGnXDh ,,,,,,
jpjugalpatel143, Wed Jan 27 01:57:00 +0000 2021,73.137778,22.768889, #Jpjugalpatel #jpjugalpatel @ દેવ ભૂમિ ડાકોર કાનૂડા ના રાજ માં https://t.co/tS7RRvmLZS ,,,,,,
saitarak9195, Wed Jan 27 01:57:01 +0000 2021,78.704741,14.497326, @SSSTShirdi Om Sai Ram 🙏 ,,,,,,
UmeshSu49029012, Wed Jan 27 01:57:01 +0000 2021,79.191213,23.900565, @ppanghalch @AnupamPKher सही है ,,,,,,
faisalTamanna, Wed Jan 27 01:57:02 +0000 2021,67.042194,24.905076, @iamHaiderZaidi @Xadeejournalist @BlochistaniNwab @jawadahmadone @Taimur_Laal @farooqleghar @RubinakhalidPPP… https://t.co/e1rHba8m0n ,,,,,,
Satishc65122179, Wed Jan 27 01:57:03 +0000 2021,83.777535,26.500299, Happy birthday ,,,,,,
riovelu1129, Wed Jan 27 01:57:06 +0000 2021,79.484871,13.28124, #TNwelcomesசின்னம்மா #WelcomeRajamadhaதுரோககூட்டம் சிதறட்டும்எதிரிகூட்டம் நடுங்கட்டும்வாருங்கள் ராஜமாதாவேவாகைசூடிடுவோம்....! ,,,,,,
kailashkachhaw2, Wed Jan 27 01:57:07 +0000 2021,72.874244,19.17414, @realshooterdadi अम्मा दंगा करने वाले किसान नहीं थे। ,,,,,,
Vikashkumar7257, Wed Jan 27 01:57:07 +0000 2021,84.845167,24.680211, 🌅 #GodMorningWednesdayकबीर,स्वांस उस्वांस में नाम जपो, व्यर्था स्वांस मत खो।ना जाने इस स्वांस को, आवन हो कि न… https://t.co/EYbf4C3Cf8 ,,,
Anirudh02907859, Wed Jan 27 01:57:08 +0000 2021,83.395746,21.86799, @chauhanaug08 जय श्री राधेकृष्णा जी भैया शुप्रभातम् जी 🙏🙏 ,,,,,,
ArohWelankar, Wed Jan 27 01:57:08 +0000 2021,73.910077,18.508161, आता!? 😡 भारत देशात राहणारा कोणताच शेतकरी हे करू शकत नाही!! ,,,,,,
ShekharShri, Wed Jan 27 01:57:09 +0000 2021,78.420229,23.970895, मध्य प्रदेश शासन के पूर्व मुख्यमंत्री एवं मध्य प्रदेश कांग्रेस कमेटी के अध्यक्ष परम आदरणीय श्री कमलनाथ जी, छिंदवा… https://t.co/RfH1r5voNs ,,,,,
mr_ankushrajput, Wed Jan 27 01:57:10 +0000 2021,84.845167,24.680211, Hahhaa😂😂 ,,,,,,
Aryan_warlord, Wed Jan 27 01:57:11 +0000 2021,72.874244,19.17414, Do not support this line of reasoning that borders on 1984 mistrust .The #Sikh have always been a pillar of #India… https://t.co/Bb0kVnJN3F ,,,,,,
herminder70, Wed Jan 27 01:57:12 +0000 2021,80.346063,26.405874, @HarsimratBadal_ अनोखे अमर शहीद धन धन #बाबादीपसिंघ जी दे जन्मदिवस दी लख लख वधाईयां..!!#ਬਾਬਾਦੀਪਸਿੰਘ ਜੀ ਦੇ ਜਨਮ ਦਿਹਾ… https://t.co/xn13WODgrf ,,,,,,
anilarts_3693, Wed Jan 27 01:57:13 +0000 2021,84.016,21.85, #sambalpuri_kulkula #arjun_tandia #anilarts3693 @ Jharsuguda district https://t.co/nqW4j6lQwn ,,,,,,
toshituto, Wed Jan 27 01:57:15 +0000 2021,73.226307,3.201397, bom dia, maldivashoje acordei com o olho doendo igual quando gozam dentro dele sem querertá foda ,,,,,
Amankum25715450, Wed Jan 27 01:57:15 +0000 2021,86.520786,25.22269, @Siddhartha_Giri @jyotisingh_s @atulaum1 besarm Insaan... ,,,,,,
Sivakum51008820, Wed Jan 27 01:57:16 +0000 2021,78.143349,9.963089, @Saranya3373 @Divyakutty24 நல்ல saireka ,,,,,,
Khetara65466693, Wed Jan 27 01:57:17 +0000 2021,73.87756,26.628415, @Kisn_M Jai Shri ram ,,,,,,
Abhishe90546437, Wed Jan 27 01:57:23 +0000 2021,82.932955,25.373376, https://t.co/Z4J3MtHQYY ,,,,,,
Puliyogare_Mix, Wed Jan 27 01:57:24 +0000 2021,76.319629,15.029557, @pbhushan1 This is Navjot Singh Sidhu with Pakistan's PM and Army Chief. https://t.co/AVmUlslM8C ,,,,,,
VIJAYPA67069064, Wed Jan 27 01:57:27 +0000 2021,71.291372,22.414713, https://t.co/j4g0VSm1jt ,,,,,,
herminder70, Wed Jan 27 01:57:27 +0000 2021,80.346063,26.405874, @officeofssbadal अनोखे अमर शहीद धन धन #बाबादीपसिंघ जी दे जन्मदिवस दी लख लख वधाईयां..!!#ਬਾਬਾਦੀਪਸਿੰਘ ਜੀ ਦੇ ਜਨਮ ਦਿਹਾ… https://t.co/2h6Nu5v0ci ,,,,,,
AdolfMaurya, Wed Jan 27 01:57:29 +0000 2021,82.453125,24.934993, लालकिले पर जबरन कुछ भी फहराना,ख़ासकर किसी संगठन व धर्म से जुड़ा झंडा फहराना ग़लत है.पर आप मीडिया की बहाई हवा में म… https://t.co/ugs0yeqreK ,,,,,
Harikri46374029, Wed Jan 27 01:57:30 +0000 2021,78.483943,17.431465, @trssandeepgoud @trsrajasekhar @TelanganaCMO @KTRTRS @trspartyonline @TRSTrending @chmallareddyMLA @RaoKavitha @MPsantoshtrs జై హింద్ 🇮🇳🇮🇳 ,,,,,,
KSMB77, Wed Jan 27 01:57:30 +0000 2021,77.556422,13.075209, @Proud_SUDEEPian @KicchaSudeep 😂😂 hmm movie ge ogana ankondidde trailer nodudmele interest ye oytu… https://t.co/AAbXgoM1XR ,,,,,,
AdolfMaurya, Wed Jan 27 01:57:31 +0000 2021,82.453125,24.934993, इसलिए  लम्हों की ख़ता की वजह से सदियों को सज़ा मत दीजिये.हमाराऐ तिरंगा स्वतंत्रता सेनानियों व आंदोलनों का प्रतीक… https://t.co/jJjskjAfNJ ,,,,,,
Sivakum51008820, Wed Jan 27 01:57:34 +0000 2021,78.143349,9.963089, @Saranya3373 @Divyakutty24 So beautiful ,,,,,,
ShonimaV, Wed Jan 27 01:57:38 +0000 2021,76.136631,10.543192, #winterpackage2021 #BTSARMY #btsfanartwow 😲🥺 they're so adorable to look at.uff😻😻🥳🥳😘🥰 https://t.co/opiilEDVS6 ,,,,,,
said22484, Wed Jan 27 01:57:40 +0000 2021,74.901972,22.031285, @DChaurasia2312 इनका ऑडियो जारी कर दे ,कहीं b&amp;d तो नहीं बोला? ,,,,,
Kumarvikash86, Wed Jan 27 01:57:41 +0000 2021,84.845167,24.680211, 🌅 #GodMorningWednesdayकबीर,स्वांस उस्वांस में नाम जपो, व्यर्था स्वांस मत खो।ना जाने इस स्वांस को, आवन हो कि न… https://t.co/fyweuS38dZ ,,,
kumar948794, Wed Jan 27 01:57:44 +0000 2021,80.620488,16.610865, https://t.co/gP8glxSm7Z ,,,,,,
tarkeshwar_dass, Wed Jan 27 01:57:47 +0000 2021,80.867555,27.139758, https://t.co/e1I4th1wU3 ,,,,,,
realchaudhary16, Wed Jan 27 01:57:48 +0000 2021,72.874244,19.17414, @sumitsaurabh Dalaldeep &amp; Rubbish Kumar ,,,,,,
MaharajShanker, Wed Jan 27 01:57:49 +0000 2021,78.385285,17.395038, https://t.co/tltgPPYP3I. @VPSecretariat Dear 2nd child ensure to initiate Adhinayak Darbar at Adhinayak Bhavan as p… https://t.co/GmylxY1naW ,,,,,,
ompraka88975922, Wed Jan 27 01:57:49 +0000 2021,75.802909,23.229134, @narendramodi दुश्मन .... https://t.co/PlQQkqvpwg ,,,,,,
Anirudh02907859, Wed Jan 27 01:57:52 +0000 2021,83.395746,21.86799, @ramdubey22 ।। श्री ।। ऊँ गणेशाय नमः 🙏 शुप्रभातम् जी ,,,,,,
pradeep92087065, Wed Jan 27 01:57:52 +0000 2021,80.346063,26.405874, @RahulGandhi सपने देखने में कोई हर्ज नहीं पर मुंगेरीलाल टाईप सपने देखने से कोई फायदा नहीं ,,,,,,
KEUsYMwSoJMiQKF, Wed Jan 27 01:57:55 +0000 2021,77.35998,19.183329, @mannkibaat నమో🚩 🙏 ,,,,,,
netha_bjp, Wed Jan 27 01:57:56 +0000 2021,78.483943,17.431465, @MahimaShastri I think this people blams formers https://t.co/B7CJLegrwU ,,,,,,
NaTaraJ_21, Wed Jan 27 01:57:58 +0000 2021,79.721519,11.903801, @KaruppuDhanush2 https://t.co/kVSEZ33ros ,,,,,,
modivanibharat, Wed Jan 27 01:57:58 +0000 2021,75.968184,22.671482, Rakesh Tikait inciting violence.#ArrestRakeshTikait https://t.co/IAyFvP6VgS ,,,,,,
VijayGa16340487, Wed Jan 27 01:58:00 +0000 2021,80.346063,26.405874, @kumar_hridaya @narendramodi जय श्री राम ,,,,,,
VijayGa16340487, Wed Jan 27 01:58:00 +0000 2021,80.346063,26.405874, @bjp4saurabhw62 @MrYaduvansh बहुत बहुत बधाई ,,,,,,
punitmaithil85, Wed Jan 27 01:58:04 +0000 2021,85.811298,25.904119, निराश मत हो.... कमज़ोर तुम्हारा वक़्त है , तुम नहीं... :) #भगवद्गीता#wednesdaythought ,,,,,
SchinSpeaks, Wed Jan 27 01:58:07 +0000 2021,76.771244,18.817911, @KanganaTeam @diljitdosanjh @priyankachopra https://t.co/2yMkvoeKcf ,,,,,,
ompraka88975922, Wed Jan 27 01:58:08 +0000 2021,75.802909,23.229134, @narendramodi बेड बैंक .... https://t.co/zOMt8PLQY3 ,,,,,,
bhaskarshetty45, Wed Jan 27 01:58:11 +0000 2021,77.556422,13.075209, @rashtrapatibhvn @RakeshTikaitBKU @_YogendraYadav @BJP4India @BJPLive @INCIndia @thecaravanindia @republic… https://t.co/biCakMuYUx ,,,,,,
Satishc65122179, Wed Jan 27 01:58:12 +0000 2021,83.777535,26.500299, Jai hind 🙏 ,,,,,,
Anilkumarchamar, Wed Jan 27 01:58:12 +0000 2021,73.87756,26.628415, @tadipaar_hun Tu sirf yhi kr skta bjp ke kilap nhi ,,,,,,
AmitKum59052508, Wed Jan 27 01:58:14 +0000 2021,72.874244,19.17414, Good morning..jai shree radhe radhe.🙏🙏🙏. https://t.co/pqTOMAOpD7 ,,,,,,
sanjudidi, Wed Jan 27 01:58:14 +0000 2021,84.13302,28.39085, @Geetprj तर यसरी बुझ्ने हरु कमै हुन्छन् ! ,,,,,,
dnyadav, Wed Jan 27 01:58:15 +0000 2021,72.874244,19.17414, किसान ठंड में मर रहे है  और मोदी सरकार सुनने को तैयार नही है#PeacefulProtestContinues#ModiYouCantFailFarmers https://t.co/A6Yy9O9yMe ,,,,,,
